scenario,policy,retry,clones,capacity,requests,attempts,reliance_filter,hidden_control,reserve_repair,metric,mean,normal95_low,normal95_high,replicates
14,group_first,fixed_panel,100,8.0,12,3,all,False,False,unnoticed_affected_reliances,2.93,2.613278790024279,3.2467212099757212,100
14,group_first,fixed_panel,100,8.0,12,3,all,False,False,full_effort_completed_panels,1.35,1.1179642138363006,1.5820357861636996,100
14,group_first,fixed_panel,100,8.0,12,3,all,False,False,true_independent_completed_panels,6.03,5.64960001699434,6.410399983005661,100
14,group_first,fixed_panel,100,8.0,12,3,all,False,False,total_hours,18.710900000000002,18.312073981980195,19.10972601801981,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,completed_requests,5.32,4.957971649081613,5.6820283509183875,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,unresolved_requests,6.68,6.3179716490816125,7.042028350918387,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,relied_requests,5.32,4.957971649081613,5.6820283509183875,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,reservation_failures,14.57,13.711236546956714,15.428763453043286,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,retry_attempts,15.82,15.084321242702092,16.55567875729791,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,refuse_actors,7.55,6.980181776282288,8.119818223717711,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,repaired_reliances,1.98,1.9118753845344927,2.048124615465507,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,pending_repairs,1.07,0.919320724582297,1.2206792754177032,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,unnoticed_affected_reliances,2.27,1.9833782388941936,2.5566217611058066,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,full_effort_completed_panels,1.24,1.0222063844142832,1.4577936155857167,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,true_independent_completed_panels,5.32,4.957971649081613,5.6820283509183875,100
15,group_first,fixed_panel,100,8.0,12,3,all,False,True,total_hours,19.0214,18.705751902679484,19.337048097320515,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,completed_requests,9.28,8.99172455371764,9.568275446282358,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,unresolved_requests,2.72,2.431724553717642,3.0082754462823584,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,relied_requests,9.28,8.99172455371764,9.568275446282358,100
