regime,seed,policy,offered,completed,completion_coverage,correct_checks_per_offer,defect_detection_fraction,accuracy_among_completed,attention_hhi,largest_attention_share,minimum_group_coverage,unresolved_offers,repair_backlog,labor,mean_queue_age,coverage_0,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,count_correct_checks,count_incorrect_checks,count_defects_offered,count_defects_detected,count_false_alarms,count_audit_detected_defects,count_audited,count_repair_completed,count_audit_missed_capacity,count_refused_capacity,count_invitations,count_checks,count_intake_labor,count_check_labor,count_audit_labor,count_repair_labor,count_blind_periods
light_load,8,prestige,125,125,1.0,0.92,0.9444444444444444,0.92,0.25286400000000003,0.4,1.0,0,5,2093,0,1.0,1.0,1.0,1.0,1.0,1.0,115,10,18,17,9,0,33,21,3,4,129,125,258,1250,165,420,2
light_load,8,bounded,125,125,1.0,0.92,0.9444444444444444,0.92,0.25286400000000003,0.4,1.0,0,5,2104,0,1.0,1.0,1.0,1.0,1.0,1.0,115,10,18,17,9,0,34,21,2,7,132,125,264,1250,170,420,2
light_load,8,uniform,125,125,1.0,0.912,0.9444444444444444,0.912,0.25286400000000003,0.4,1.0,0,6,2072,0,1.0,1.0,1.0,1.0,1.0,1.0,114,11,18,15,8,2,38,19,0,1,126,125,252,1250,190,380,2
default,1,prestige,347,346,0.9971181556195965,0.9164265129682997,0.896551724137931,0.9190751445086706,0.2587624043569781,0.430635838150289,0.9933333333333333,1,17,5797,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,318,28,58,50,20,2,79,55,20,76,421,346,842,3460,395,1100,1
default,1,bounded,347,346,0.9971181556195965,0.9193083573487032,0.9137931034482759,0.9219653179190751,0.2587624043569781,0.430635838150289,0.9933333333333333,1,16,5949,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,319,27,58,53,22,0,87,59,13,94,437,346,874,3460,435,1180,1
default,1,uniform,347,346,0.9971181556195965,0.9077809798270894,0.896551724137931,0.9104046242774566,0.2587624043569781,0.430635838150289,0.9933333333333333,1,19,6009,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,315,31,58,52,25,0,87,58,13,149,477,346,954,3460,435,1160,1
default,2,prestige,354,354,1.0,0.9265536723163842,0.873015873015873,0.9265536723163842,0.22330747869386192,0.3728813559322034,1.0,0,15,5977,0,1.0,1.0,1.0,1.0,1.0,1.0,328,26,63,52,15,3,91,55,17,88,441,354,882,3540,455,1100,5
default,2,bounded,354,353,0.9971751412429378,0.9124293785310734,0.9365079365079365,0.9150141643059491,0.22405283727499614,0.37393767705382436,0.9696969696969697,1,19,6210,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,323,30,63,56,23,3,92,63,11,127,480,353,960,3530,460,1260,5
default,2,uniform,354,354,1.0,0.884180790960452,0.8095238095238095,0.884180790960452,0.22330747869386192,0.3728813559322034,1.0,0,16,6186,0,1.0,1.0,1.0,1.0,1.0,1.0,313,41,63,48,26,3,96,61,12,119,473,354,946,3540,480,1220,5
default,3,prestige,388,386,0.9948453608247423,0.8969072164948454,0.8769230769230769,0.9015544041450777,0.2321941528631641,0.3860103626943005,0.9871794871794872,2,17,6703,1.0,0.9933333333333333,0.9871794871794872,1.0,1.0,1.0,1.0,348,38,65,54,27,3,83,67,28,166,544,386,1088,3860,415,1340,6
