lag_seconds,normalized_correlation
-0.039794921875,0.246484035548
-0.03955078125,0.268136650427
-0.039306640625,0.29310736206
-0.0390625,0.316452441086
-0.038818359375,0.333680663635
-0.03857421875,0.341764071698
-0.038330078125,0.339575509182
-0.0380859375,0.327867357444
-0.037841796875,0.309006858851
-0.03759765625,0.286602897421
-0.037353515625,0.26501482359
-0.037109375,0.24865100973
-0.036865234375,0.241013750406
-0.03662109375,0.243630160505
-0.036376953125,0.255231787897
-0.0361328125,0.271633728674
-0.035888671875,0.286588736014
-0.03564453125,0.293501272754
-0.035400390625,0.287479842561
-0.03515625,0.266989431105
-0.034912109375,0.234449988334
-0.03466796875,0.195503502745
-0.034423828125,0.157202899242
-0.0341796875,0.12581362136
-0.033935546875,0.10503823342
-0.03369140625,0.095233294526
-0.033447265625,0.09374331355
-0.033203125,0.096052350815
-0.032958984375,0.097217784988
-0.03271484375,0.093077353586
-0.032470703125,0.080968004831
-0.0322265625,0.059996131053
-0.031982421875,0.031055135331
-0.03173828125,-0.003272368275
-0.031494140625,-0.038960643194
-0.03125,-0.071086289522
-0.031005859375,-0.09478909101
-0.03076171875,-0.106567839356
-0.030517578125,-0.105555271288
-0.0302734375,-0.094231079131
-0.030029296875,-0.078111227499
-0.02978515625,-0.064322313361
-0.029541015625,-0.059456226692
-0.029296875,-0.067450541663
-0.029052734375,-0.088286422072
-0.02880859375,-0.118011259992
-0.028564453125,-0.150079176797
-0.0283203125,-0.177475609325
-0.028076171875,-0.194809963294
-0.02783203125,-0.199658305121
-0.027587890625,-0.192827945116
-0.02734375,-0.177668369254
-0.027099609375,-0.158862770682
-0.02685546875,-0.141200811992
-0.026611328125,-0.128665281475
-0.0263671875,-0.123885657843
-0.026123046875,-0.127815706092
-0.02587890625,-0.13950954006
-0.025634765625,-0.156047773879
-0.025390625,-0.172821649153
-0.025146484375,-0.184372108238
-0.02490234375,-0.185778371215
-0.024658203125,-0.174277968026
-0.0244140625,-0.150535010699
-0.024169921875,-0.118943568951
-0.02392578125,-0.086654255389
-0.023681640625,-0.061534049759
-0.0234375,-0.049744466363
